Strategy,Popsize,Mutation,Nit,X0,X1,Estimated
best1exp,18,0.8,109,0.0,0.0,18#0.8
best1exp,18,0.7,94,0.0,0.0,18#0.7
best1exp,18,0.6,77,0.0,0.0,18#0.6
best1exp,18,0.5,65,0.0,0.0,18#0.5
best1exp,18,0.4,47,0.0,0.0,18#0.4
best1exp,18,0.3,36,0.0,0.0,18#0.3
best1exp,18,0.2,6,0.95,-0.0,18#0.2
best1exp,18,0.1,6,0.95,0.0,18#0.1
best1exp,18,0.0,4,1.96,0.0,18#0.0
best1exp,19,1.0,154,0.0,0.0,19#1.0
best1exp,19,0.9,136,0.0,0.0,19#0.9
best1exp,19,0.8,114,0.0,0.0,19#0.8
best1exp,19,0.7,95,0.0,0.0,19#0.7
best1exp,19,0.6,74,0.0,0.0,19#0.6
best1exp,19,0.5,61,0.0,0.0,19#0.5
best1exp,19,0.4,46,0.0,0.0,19#0.4
best1exp,19,0.3,36,0.0,0.0,19#0.3
best1exp,19,0.2,29,-0.0,0.0,19#0.2
best1exp,19,0.1,24,0.0,0.0,19#0.1
best1exp,19,0.0,3,0.36,-0.63,19#0.0
best1exp,20,1.0,159,0.0,0.0,20#1.0
best1exp,20,0.9,139,0.0,0.0,20#0.9
best1exp,20,0.8,111,0.0,0.0,20#0.8
best1exp,20,0.7,92,0.0,0.0,20#0.7
best1exp,20,0.6,76,0.0,0.0,20#0.6
best1exp,20,0.5,61,0.0,0.0,20#0.5
best1exp,20,0.4,46,0.0,0.0,20#0.4
best1exp,20,0.3,37,0.0,0.0,20#0.3
best1exp,20,0.2,28,0.0,0.0,20#0.2
best1exp,20,0.1,21,0.0,0.0,20#0.1
best1exp,20,0.0,2,0.0,-0.0,20#0.0
rand1exp,10,1.0,229,0.0,0.0,10#1.0
rand1exp,10,0.9,196,0.0,0.0,10#0.9
rand1exp,10,0.8,177,0.0,0.0,10#0.8
rand1exp,10,0.7,151,0.0,0.0,10#0.7
rand1exp,10,0.6,144,0.0,0.0,10#0.6
rand1exp,10,0.5,124,0.0,0.0,10#0.5
rand1exp,10,0.4,113,0.0,0.0,10#0.4
rand1exp,10,0.3,104,0.0,0.0,10#0.3
rand1exp,10,0.2,46,-0.0,-0.0,10#0.2
rand1exp,10,0.1,21,-0.0,0.02,10#0.1
rand1exp,10,0.0,8,-0.0,-0.0,10#0.0
rand1exp,11,1.0,229,0.0,0.0,11#1.0
rand1exp,11,0.9,214,0.0,0.0,11#0.9
rand1exp,11,0.8,180,0.0,0.0,11#0.8
rand1exp,11,0.7,166,0.0,0.0,11#0.7
rand1exp,11,0.6,138,0.0,0.0,11#0.6
rand1exp,11,0.5,114,0.0,0.0,11#0.5
rand1exp,11,0.4,111,0.0,0.0,11#0.4
rand1exp,11,0.3,105,0.0,0.0,11#0.3
rand1exp,11,0.2,38,-0.0,-0.0,11#0.2
rand1exp,11,0.1,30,-0.0,0.0,11#0.1
rand1exp,11,0.0,8,0.27,0.33,11#0.0
rand1exp,12,1.0,222,0.0,0.0,12#1.0
rand1exp,12,0.9,194,0.0,0.0,12#0.9
rand1exp,12,0.8,192,0.0,0.0,12#0.8
rand1exp,12,0.7,165,0.0,0.0,12#0.7
rand1exp,12,0.6,143,0.0,0.0,12#0.6
rand1exp,12,0.5,125,0.0,0.0,12#0.5
rand1exp,12,0.4,105,0.0,0.0,12#0.4
rand1exp,12,0.3,106,0.0,0.0,12#0.3
rand1exp,12,0.2,70,-0.0,-0.0,12#0.2
rand1exp,12,0.1,22,-0.0,-0.0,12#0.1
rand1exp,12,0.0,9,0.0,-0.0,12#0.0
rand1exp,13,1.0,230,0.0,0.0,13#1.0
rand1exp,13,0.9,195,0.0,0.0,13#0.9
rand1exp,13,0.8,171,0.0,0.0,13#0.8
rand1exp,13,0.7,149,0.0,0.0,13#0.7
rand1exp,13,0.6,158,0.0,0.0,13#0.6
rand1exp,13,0.5,131,0.0,0.0,13#0.5
rand1exp,13,0.4,105,0.0,0.0,13#0.4
rand1exp,13,0.3,113,0.0,0.0,13#0.3
rand1exp,13,0.2,75,-0.0,-0.0,13#0.2
rand1exp,13,0.1,45,-0.0,-0.0,13#0.1
rand1exp,13,0.0,13,-0.0,-0.0,13#0.0
rand1exp,14,1.0,227,0.0,0.0,14#1.0
rand1exp,14,0.9,204,0.0,0.0,14#0.9
rand1exp,14,0.8,184,0.0,0.0,14#0.8
rand1exp,14,0.7,160,0.0,0.0,14#0.7
rand1exp,14,0.6,149,0.0,0.0,14#0.6
rand1exp,14,0.5,127,0.0,0.0,14#0.5
rand1exp,14,0.4,114,0.0,0.0,14#0.4
rand1exp,14,0.3,111,0.0,0.0,14#0.3
rand1exp,14,0.2,102,-0.0,0.0,14#0.2
rand1exp,14,0.1,22,0.0,-0.0,14#0.1
rand1exp,14,0.0,12,0.42,0.03,14#0.0
rand1exp,15,1.0,213,0.0,0.0,15#1.0
rand1exp,15,0.9,199,0.0,0.0,15#0.9
rand1exp,15,0.8,172,0.0,0.0,15#0.8
rand1exp,15,0.7,164,0.0,0.0,15#0.7
rand1exp,15,0.6,137,0.0,0.0,15#0.6
rand1exp,15,0.5,129,0.0,0.0,15#0.5
rand1exp,15,0.4,116,0.0,0.0,15#0.4
rand1exp,15,0.3,109,0.0,0.0,15#0.3
rand1exp,15,0.2,94,0.0,0.0,15#0.2
rand1exp,15,0.1,36,-0.0,-0.0,15#0.1
rand1exp,15,0.0,9,-0.0,-0.95,15#0.0
rand1exp,16,1.0,198,0.0,0.0,16#1.0
rand1exp,16,0.9,213,0.0,0.0,16#0.9
rand1exp,16,0.8,180,0.0,0.0,16#0.8
rand1exp,16,0.7,157,0.0,0.0,16#0.7
rand1exp,16,0.6,148,0.0,0.0,16#0.6
rand1exp,16,0.5,129,0.0,0.0,16#0.5
rand1exp,16,0.4,111,0.0,0.0,16#0.4
rand1exp,16,0.3,97,0.0,0.0,16#0.3
rand1exp,16,0.2,82,-0.0,0.0,16#0.2
rand1exp,16,0.1,38,-0.0,-0.0,16#0.1
rand1exp,16,0.0,9,0.0,-0.0,16#0.0
rand1exp,17,1.0,223,0.0,0.0,17#1.0
rand1exp,17,0.9,205,0.0,0.0,17#0.9
rand1exp,17,0.8,181,0.0,0.0,17#0.8
rand1exp,17,0.7,165,0.0,0.0,17#0.7
rand1exp,17,0.6,143,0.0,0.0,17#0.6
rand1exp,17,0.5,124,0.0,0.0,17#0.5
rand1exp,17,0.4,118,0.0,0.0,17#0.4
rand1exp,17,0.3,96,0.0,0.0,17#0.3
rand1exp,17,0.2,99,0.0,-0.0,17#0.2
rand1exp,17,0.1,42,-0.0,-0.0,17#0.1
rand1exp,17,0.0,10,-0.0,-0.0,17#0.0
rand1exp,18,1.0,221,0.0,0.0,18#1.0
rand1exp,18,0.9,211,0.0,0.0,18#0.9
rand1exp,18,0.8,177,0.0,0.0,18#0.8
rand1exp,18,0.7,168,0.0,0.0,18#0.7
rand1exp,18,0.6,144,0.0,0.0,18#0.6
rand1exp,18,0.5,130,0.0,0.0,18#0.5
rand1exp,18,0.4,121,0.0,0.0,18#0.4
rand1exp,18,0.3,101,0.0,0.0,18#0.3
rand1exp,18,0.2,103,0.0,0.0,18#0.2
rand1exp,18,0.1,53,-0.0,-0.0,18#0.1
rand1exp,18,0.0,11,-0.0,-0.0,18#0.0
rand1exp,19,1.0,223,0.0,0.0,19#1.0
rand1exp,19,0.9,203,0.0,0.0,19#0.9
rand1exp,19,0.8,165,0.0,0.0,19#0.8
rand1exp,19,0.7,159,0.0,0.0,19#0.7
rand1exp,19,0.6,147,0.0,0.0,19#0.6
rand1exp,19,0.5,137,0.0,0.0,19#0.5
rand1exp,19,0.4,110,0.0,0.0,19#0.4
rand1exp,19,0.3,102,0.0,0.0,19#0.3
rand1exp,19,0.2,102,0.0,0.0,19#0.2
rand1exp,19,0.1,53,-0.0,-0.0,19#0.1
rand1exp,19,0.0,11,0.0,-0.0,19#0.0
rand1exp,20,1.0,211,0.0,0.0,20#1.0
